TubeNumber,Trt,Rep,Sample,CoverCrop,Variety,WCR,DateGerm,DateWCR,DateSample,Type,Mass,VolumeMethanol,ExtractionNotes,DateGround,DateMethanol
196,H,12,H12,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,102.2,307,,9/12/2023,9/12/2023
197,I,11,I11,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,97.3,292,,9/12/2023,9/12/2023
198,I,12,I12,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Roots,95.1,285,,9/12/2023,9/12/2023
199,J,11,J11,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,90.6,272,,9/12/2023,9/12/2023
200,J,12,J12,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,103.3,310,,9/12/2023,9/12/2023
201,A,13,A13,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,106,318,,9/12/2023,9/12/2023
202,A,14,A14,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,95.2,286,,9/12/2023,9/12/2023
203,B,13,B13,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,119,357,,9/12/2023,9/12/2023
204,B,14,B14,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Shoots,100.7,302,,9/12/2023,9/12/2023
205,C,13,C13,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,108.1,324,,9/12/2023,9/12/2023
207,D,13,D13,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,117.7,353,,9/12/2023,9/12/2023
208,D,14,D14,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,105.2,316,,9/12/2023,9/12/2023
209,E,13,E13,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,119.2,358,,9/12/2023,9/12/2023
210,E,14,E14,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,104.4,313,,9/12/2023,9/12/2023
211,A,13,A13,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,100,300,,9/12/2023,9/12/2023
212,A,14,A14,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,102,306,,9/12/2023,9/12/2023
213,B,13,B13,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,98.8,296,,9/12/2023,9/12/2023
214,B,14,B14,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Roots,120.2,361,,9/12/2023,9/12/2023
215,C,13,C13,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,111.3,334,,9/12/2023,9/12/2023
217,D,13,D13,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,90.3,271,,9/12/2023,9/12/2023
218,D,14,D14,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,106.7,320,,9/12/2023,9/12/2023
219,E,13,E13,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,106.9,321,,9/12/2023,9/12/2023
220,E,14,E14,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,97.2,292,,9/12/2023,9/12/2023
221,F,13,F13,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,102.9,309,,9/12/2023,9/12/2023
222,F,14,F14,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,96.4,289,,9/12/2023,9/12/2023
223,G,13,G13,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,111.1,333,,9/12/2023,9/12/2023
224,G,14,G14,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,115.5,347,,9/12/2023,9/12/2023
225,H,13,H13,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,99.2,298,,9/12/2023,9/12/2023
226,H,14,H14,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,99.8,299,,9/12/2023,9/12/2023
227,I,13,I13,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,100.6,302,,9/12/2023,9/12/2023
228,I,14,I14,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,107.9,324,,9/12/2023,9/12/2023
229,J,13,J13,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,100.4,301,,9/12/2023,9/12/2023
230,J,14,J14,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Shoots,106.6,320,,9/12/2023,9/12/2023
231,F,13,F13,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,98.1,294,,9/12/2023,9/12/2023
232,F,14,F14,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,104.4,313,,9/12/2023,9/12/2023
233,G,13,G13,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,93.8,281,,9/12/2023,9/12/2023
234,G,14,G14,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,94.6,284,,9/12/2023,9/12/2023
235,H,13,H13,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,105,315,,9/12/2023,9/12/2023
236,H,14,H14,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,105,298,should have been 315,9/12/2023,9/12/2023
237,I,13,I13,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,99.2,298,,9/12/2023,9/12/2023
238,I,14,I14,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,97.9,294,,9/12/2023,9/12/2023
239,J,13,J13,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,97,291,,9/12/2023,9/12/2023
240,J,14,J14,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Roots,90.9,273,,9/12/2023,9/12/2023
241,A,15,A15,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,90.3,271,,9/12/2023,9/12/2023
243,B,15,B15,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,98.7,296,,9/12/2023,9/12/2023
244,B,16,B16,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,97.7,293,,9/12/2023,9/12/2023
245,C,15,C15,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,106.3,319,,9/12/2023,9/12/2023
246,C,16,C16,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,100.5,302,,9/12/2023,9/12/2023
247,D,15,D15,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,117.1,351,,9/12/2023,9/12/2023
248,D,16,D16,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,97.3,292,,9/12/2023,9/12/2023
249,E,15,E15,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,96.2,289,,9/12/2023,9/12/2023
250,E,16,E16,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Shoots,97.2,292,,9/12/2023,9/12/2023
251,A,15,A15,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,108.2,325,,9/12/2023,9/12/2023
253,B,15,B15,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,104.6,314,,9/12/2023,9/12/2023
254,B,16,B16,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,106.1,318,,9/12/2023,9/12/2023
255,C,15,C15,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,103.6,311,,9/12/2023,9/12/2023
256,C,16,C16,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,100.6,302,,9/12/2023,9/12/2023
257,D,15,D15,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,106.9,321,,9/12/2023,9/12/2023
258,D,16,D16,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,100.8,302,,9/12/2023,9/12/2023
259,E,15,E15,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,102,306,,9/12/2023,9/12/2023
260,E,16,E16,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Roots,104.2,313,,9/12/2023,9/12/2023
261,F,15,F15,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,93,279,,9/12/2023,9/12/2023
262,F,16,F16,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Shoots,100.1,300,,9/12/2023,9/12/2023
263,G,15,G15,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,97.8,293,,9/12/2023,9/12/2023
264,G,16,G16,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,92.7,278,,9/12/2023,9/12/2023
265,H,15,H15,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,100,300,,9/12/2023,9/12/2023
266,H,16,H16,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,93.8,281,,9/12/2023,9/12/2023
267,I,15,I15,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,108.5,326,,9/12/2023,9/12/2023
268,I,16,I16,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,95.4,286,,9/12/2023,9/12/2023
269,J,15,J15,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,93.2,280,,9/12/2023,9/12/2023
270,J,16,J16,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,106.5,320,,9/12/2023,9/12/2023
271,F,15,F15,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,102.6,308,,9/12/2023,9/12/2023
272,F,16,F16,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/27/2022,Roots,92.2,277,,9/12/2023,9/12/2023
273,G,15,G15,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,100.8,302,,9/12/2023,9/12/2023
274,G,16,G16,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,101,303,,9/12/2023,9/12/2023
275,H,15,H15,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,98.5,296,,9/12/2023,9/12/2023
276,H,16,H16,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,93.9,282,,9/12/2023,9/12/2023
277,I,15,I15,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,103,309,,9/12/2023,9/12/2023
278,I,16,I16,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,93.9,282,,9/12/2023,9/12/2023
279,J,15,J15,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,116.2,349,,9/12/2023,9/12/2023
280,J,16,J16,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,91.8,275,,9/12/2023,9/12/2023
281,A,17,A17,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,106.3,319,,9/13/2023,9/13/2023
282,A,18,A18,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,112.3,337,,9/13/2023,9/13/2023
283,B,17,B17,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,118.5,356,,9/13/2023,9/13/2023
284,B,18,B18,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,106.3,319,,9/13/2023,9/13/2023
286,C,18,C18,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,106.5,320,,9/13/2023,9/13/2023
287,D,17,D17,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,98.5,296,,9/13/2023,9/13/2023
288,D,18,D18,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,113.1,339,,9/13/2023,9/13/2023
289,E,17,E17,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,106.2,319,,9/13/2023,9/13/2023
290,E,18,E18,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,98.1,294,,9/13/2023,9/13/2023
291,A,17,A17,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,108.7,326,,9/13/2023,9/13/2023
292,A,18,A18,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,97.7,293,,9/13/2023,9/13/2023
293,B,17,B17,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,96.3,289,,9/13/2023,9/13/2023
294,B,18,B18,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,111.6,335,,9/13/2023,9/13/2023
296,C,18,C18,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,94.7,284,,9/13/2023,9/13/2023
297,D,17,D17,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,94.8,284,,9/13/2023,9/13/2023
298,D,18,D18,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,92.1,276,,9/13/2023,9/13/2023
299,E,17,E17,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,106.4,319,,9/13/2023,9/13/2023
300,E,18,E18,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,91.9,276,,9/13/2023,9/13/2023
301,F,17,F17,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,101.4,304,,9/13/2023,9/13/2023
302,F,18,F18,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,101.7,305,,9/13/2023,9/13/2023
303,G,17,G17,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,95.6,287,,9/13/2023,9/13/2023
304,G,18,G18,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,113,339,,9/13/2023,9/13/2023
305,H,17,H17,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,99.2,298,,9/13/2023,9/13/2023
306,H,18,H18,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,115.2,346,,9/13/2023,9/13/2023
307,I,17,I17,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,108.7,326,,9/13/2023,9/13/2023
308,I,18,I18,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,115.2,346,,9/13/2023,9/13/2023
309,J,17,J17,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,101,303,,9/13/2023,9/13/2023
310,J,18,J18,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,100.6,302,,9/13/2023,9/13/2023
311,F,17,F17,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,103,309,,9/13/2023,9/13/2023
312,F,18,F18,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,98.3,295,,9/13/2023,9/13/2023
313,G,17,G17,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,113.8,341,,9/13/2023,9/13/2023
314,G,18,G18,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,98.6,296,,9/13/2023,9/13/2023
315,H,17,H17,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,102.7,308,,9/13/2023,9/13/2023
316,H,18,H18,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,103,309,,9/13/2023,9/13/2023
317,I,17,I17,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,116.3,349,,9/13/2023,9/13/2023
318,I,18,I18,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,118.4,355,,9/13/2023,9/13/2023
319,J,17,J17,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,94.5,284,,9/13/2023,9/13/2023
320,J,18,J18,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,100.5,302,,9/13/2023,9/13/2023
321,A,19,A19,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,114.1,342,,9/13/2023,9/13/2023
322,A,20,A20,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,113.3,340,,9/13/2023,9/13/2023
323,B,19,B19,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,100.8,302,,9/13/2023,9/13/2023
324,B,20,B20,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,107.1,321,,9/13/2023,9/13/2023
325,C,19,C19,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,113.1,339,,9/13/2023,9/13/2023
326,C,20,C20,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Shoots,115.5,347,,9/13/2023,9/13/2023
327,D,19,D19,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,111.5,335,,9/13/2023,9/13/2023
328,D,20,D20,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,102,306,,9/13/2023,9/13/2023
329,E,19,E19,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Shoots,108.7,326,,9/13/2023,9/13/2023
330,E,20,E20,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Shoots,101.5,305,,9/13/2023,9/13/2023
331,A,19,A19,Fallow,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,92.6,278,,9/13/2023,9/13/2023
332,A,20,A20,Fallow,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,105.8,317,,9/13/2023,9/13/2023
333,B,19,B19,Pea,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,99.2,298,,9/13/2023,9/13/2023
334,B,20,B20,Pea,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,116.5,350,,9/13/2023,9/13/2023
335,C,19,C19,Radish,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,95.7,287,,9/13/2023,9/13/2023
336,C,20,C20,Radish,MastersChoice,no,5/31/2022,7/18/2022,7/20/2022,Roots,94.7,284,,9/13/2023,9/13/2023
337,D,19,D19,Triticale,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,99.6,299,,9/13/2023,9/13/2023
338,D,20,D20,Triticale,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,106,318,,9/13/2023,9/13/2023
339,E,19,E19,Mixture,MastersChoice,yes,5/31/2022,7/18/2022,7/21/2022,Roots,101.7,305,,9/13/2023,9/13/2023
340,E,20,E20,Mixture,MastersChoice,no,5/31/2022,7/18/2022,7/22/2022,Roots,105.5,317,,9/13/2023,9/13/2023
341,F,19,F19,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,93.4,280,,9/13/2023,9/13/2023
342,F,20,F20,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,110.3,331,,9/13/2023,9/13/2023
343,G,19,G19,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,109,327,,9/13/2023,9/13/2023
344,G,20,G20,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,102.1,306,,9/13/2023,9/13/2023
345,H,19,H19,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,102.5,308,,9/13/2023,9/13/2023
346,H,20,H20,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,106,318,,9/13/2023,9/13/2023
347,I,19,I19,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,102.6,308,,9/13/2023,9/13/2023
348,I,20,I20,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,102.2,307,,9/13/2023,9/13/2023
349,J,19,J19,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Shoots,98.8,296,,9/13/2023,9/13/2023
350,J,20,J20,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Shoots,105.6,317,,9/13/2023,9/13/2023
351,F,19,F19,Fallow,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,114.3,343,,9/13/2023,9/13/2023
352,F,20,F20,Fallow,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,99.1,297,,9/13/2023,9/13/2023
353,G,19,G19,Pea,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,96.4,289,,9/13/2023,9/13/2023
354,G,20,G20,Pea,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,92.7,278,,9/13/2023,9/13/2023
355,H,19,H19,Radish,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,91,273,,9/13/2023,9/13/2023
356,H,20,H20,Radish,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,103.1,309,,9/13/2023,9/13/2023
357,I,19,I19,Triticale,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,115.9,348,,9/13/2023,9/13/2023
358,I,20,I20,Triticale,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,107.2,322,,9/13/2023,9/13/2023
359,J,19,J19,Mixture,BlueRiverOrganic,yes,5/31/2022,7/25/2022,7/28/2022,Roots,93,279,,9/13/2023,9/13/2023
360,J,20,J20,Mixture,BlueRiverOrganic,no,5/31/2022,7/25/2022,7/29/2022,Roots,100.2,301,,9/13/2023,9/13/2023
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
